# vendor|acct_len|ifsc_len -- LENGTHS ONLY, no digits of any real number
A.A. PHARMACEUTICALS|16|11
BASS PHARMA DISTRIBUTORS|14|11
DEEPAM PHARMA|11|11
DRUG DEALS|13|11
ESS KAY AGENCIES|14|11
ESSENTIAL PHARMA|14|11
GUNINA PHARMACEUTICALS|14|11
JANTA PHARMACEUTICALS|14|11
JUBLI AGENCY|15|11
KEDAR PHARMA|14|11
KRISHNA MEDICOS|10|11
LK DRUG HOUSE|11|11
MANNAT PHARMA|13|11
RADHA MEDICAL AND SCIENTIFIC|16|11
RAVI MEDICAL AGENCIES|11|11
SAISUN PHARMA PRIVATE LIMITED|12|11
SCIENTIFIC & MEDICAL AID CENTRE|11|11
SEHGAL MEDICOSE|14|11
SHIVAAZ FORMULATIONS|11|11
SHRADDHA MEDICOS|14|11
VERMA BROS.AND CO|10|11
VINTECH REMEDIES|11|11
YOGENDRA|11|11
YUVIKA SURGICAL|10|11
